pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,818.68
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,823.05
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,836.81
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,841.01
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,829.43
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,823.57
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,825.46
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,823.66
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,828.9
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,837.93
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,839.32
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,832.51
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,821.95
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,824.26
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,823.56
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,835.28
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,842.59
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,842.87
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,839.71
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,829.74
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,827.61
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,832.63
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,836.36
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,839.54
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,842.37
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,840.07
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,829.93
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,839.23
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,837.52
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,866.8
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,854.43
